,id,full_name,language,#commitsBeforeFollowUp,#DevsBeforeFollowUp,SQ/NonSQ,#commitsDuringFollowUp,age_in_ASF,n_closed_issues_start,start_mean_velocity,start_median_velocity,open_issues_at_start,n_created_issues_start,n_closed_issues_end,end_mean,end_median,open_issues_at_end,difference_of_means,difference_of_medians,n_created_issues_end,root_project
471,35472259,apache/cloudstack-www,HTML,253,25,NonSQ,82,1981 days 19:01:34,1,0 days 15:31:00,0 days 15:31:00,0,1,1,0 days 21:39:32,0 days 21:39:32,0,0 days 06:08:32,0 days 06:08:32,1,cloudstack
472,35755560,apache/flink-web,HTML,1121,97,NonSQ,457,2184 days 17:36:47,51,19 days 08:09:34.196078431,3 days 07:15:03,17,53,44,57 days 00:03:18.227272727,6 days 19:39:07,21,37 days 15:53:44.031194296,3 days 12:24:04,41,flink
473,36057260,apache/activemq-artemis,Java,8081,174,NonSQ,1647,2247 days 20:10:28,351,67 days 07:49:36.048433048,5 days 20:58:25,369,393,430,57 days 04:36:28.367441860,6 days 07:37:31,419,-11 days +20:46:52.319008812,0 days 10:39:06,403,activemq
474,37115105,apache/dubbo-website,HTML,8,6,NonSQ,922,7 days 02:55:17,72,30 days 13:26:22.430555555,7 days 02:01:30,65,92,611,6 days 20:48:55.132569558,0 days 11:48:43,138,-24 days +07:22:32.702014003,-7 days +09:47:13,615,dubbo
476,37578257,apache/wicket-site,HTML,292,10,NonSQ,35,2047 days 15:13:22,2,0 days 14:51:11,0 days 14:51:11,0,2,1,0 days 00:18:30,0 days 00:18:30,0,-1 days +09:27:19,-1 days +09:27:19,1,wicket
477,37687709,apache/datasketches-website,HTML,917,17,NonSQ,176,2022 days 21:11:00,7,7 days 06:01:20.571428571,0 days 03:25:34,1,6,11,12 days 05:12:34.818181818,1 days 05:05:58,0,4 days 23:11:14.246753247,1 days 01:40:24,11,datasketches
479,38278294,apache/datasketches-hive,Java,269,6,NonSQ,29,1942 days 18:26:17,0,NaT,NaT,0,1,0,NaT,NaT,0,NaT,NaT,2,datasketches
480,38279143,apache/datasketches-pig,Java,342,5,NonSQ,26,1942 days 18:06:38,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,1,datasketches
481,38279790,apache/datasketches-java,Java,2226,17,NonSQ,501,2007 days 05:55:51,17,16 days 14:47:53.411764706,2 days 17:11:30,0,20,18,7 days 23:14:58.666666666,1 days 22:29:05,3,-9 days +08:27:05.254901960,-1 days +05:17:35,20,datasketches
482,38525117,apache/couchdb-ci,Shell,163,6,NonSQ,48,1946 days 11:15:29,0,NaT,NaT,0,0,4,0 days 01:17:33.250000,0 days 00:47:26,0,NaT,NaT,4,couchdb
483,38866103,apache/commons-scxml,Java,1149,15,NonSQ,173,5577 days 21:40:31,0,NaT,NaT,13,3,47,23 days 01:36:47.893617021,3 days 19:33:18,24,NaT,NaT,44,commons
484,38917208,apache/james-project,Java,11367,66,NonSQ,2893,5205 days 22:36:55,51,44 days 03:50:19.607843137,6 days 01:02:32,23,55,309,36 days 22:37:35.343042071,3 days 18:28:54,25,-8 days +18:47:15.735198934,-3 days +17:26:22,296,james
485,39059221,apache/couchdb-nano,JavaScript,838,97,NonSQ,36,3419 days 17:53:13,18,57 days 17:09:11.388888889,3 days 16:36:25.500000,73,20,11,35 days 18:32:15.363636363,2 days 23:49:59,26,-22 days +01:23:03.974747474,-1 days +07:13:33.500000,16,couchdb
487,39464018,apache/superset,TypeScript,7791,492,NonSQ,4921,2006 days 22:40:30,1838,24 days 10:06:38.847660500,2 days 08:41:34,388,1970,1444,49 days 18:25:01.347645430,3 days 06:18:44,1195,25 days 08:18:22.499984930,0 days 21:37:10,1728,superset
488,39759972,apache/couchdb-docker,Shell,221,33,NonSQ,21,2507 days 04:50:00,9,0 days 07:06:10.222222222,0 days 04:28:57,5,11,2,2 days 01:12:13.500000,2 days 01:12:13.500000,12,1 days 18:06:03.277777778,1 days 20:43:16.500000,3,couchdb
491,41239511,apache/nifi-maven,Java,39,12,NonSQ,24,1880 days 03:37:20,2,84 days 11:45:47,84 days 11:45:47,2,0,7,54 days 16:05:37.571428571,46 days 04:53:33,1,-30 days +04:19:50.571428571,-39 days +17:07:46,8,nifi
492,41239512,apache/nifi-site,SCSS,292,41,NonSQ,92,1893 days 17:23:13,4,20 days 13:23:47,1 days 05:32:41.500000,3,4,12,254 days 16:28:50.833333332,68 days 13:06:09.500000,7,234 days 03:05:03.833333332,67 days 07:33:28,5,nifi
494,41348335,apache/kafka-site,HTML,469,68,NonSQ,158,1906 days 21:16:07,45,15 days 04:56:25.911111111,0 days 20:11:33,13,46,54,16 days 10:55:50.870370370,0 days 06:37:26,14,1 days 05:59:24.959259259,-1 days +10:25:53,55,kafka
495,41892061,apache/fluo-recipes,Java,194,5,NonSQ,6,1866 days 19:32:32,7,2 days 01:47:19.571428571,0 days 18:33:19,15,7,0,NaT,NaT,15,NaT,NaT,0,fluo
496,41902287,apache/freemarker-docgen,Java,505,3,NonSQ,18,2324 days 23:49:19,1,261 days 01:07:03,261 days 01:07:03,1,0,0,NaT,NaT,1,NaT,NaT,1,freemarker
497,41902288,apache/freemarker-site,,252,8,NonSQ,6,2200 days 01:23:11,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,freemarker
498,41902290,apache/freemarker,Java,2267,28,NonSQ,50,3926 days 09:43:18,17,22 days 16:02:25.117647058,3 days 23:56:33,45,23,6,98 days 20:09:02,4 days 08:24:04,63,76 days 04:06:36.882352942,0 days 08:27:31,10,freemarker
499,41952293,apache/hawq,C,1697,64,NonSQ,72,2192 days 02:52:03,13,27 days 13:48:14,0 days 01:41:28,284,20,9,4 days 16:53:42.777777777,0 days 06:32:27,306,-23 days +03:05:28.777777777,0 days 04:50:59,13,hawq
500,42161741,apache/cordova-plugin-wkwebview-engine,Objective-C,151,33,NonSQ,3,2068 days 08:18:23,18,101 days 11:43:01.444444444,1 days 14:23:28,37,22,0,NaT,NaT,42,NaT,NaT,0,cordova
501,42304749,apache/shardingsphere-elasticjob,Java,2128,70,NonSQ,113,2191 days 02:36:02,1003,70 days 20:31:08.268195413,0 days 02:57:42,121,918,75,90 days 00:58:24.973333333,10 days 01:46:09,129,19 days 04:27:16.705137920,9 days 22:48:27,66,shardingsphere
502,42705152,apache/yetus,Shell,1337,72,NonSQ,81,4219 days 23:09:01,229,130 days 06:28:45.938864628,2 days 18:03:51,245,224,31,19 days 09:30:31.709677419,4 days 14:20:53,223,-111 days +03:01:45.770812791,1 days 20:17:02,36,yetus
505,42763344,apache/madlib-site,Jupyter Notebook,107,11,NonSQ,23,1692 days 18:51:07,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,madlib
506,42763345,apache/madlib,C++,2894,49,NonSQ,97,3758 days 09:29:23,42,70 days 10:50:01.619047619,28 days 06:52:58,1002,48,15,20 days 02:55:31.733333333,9 days 04:57:53,1008,-51 days +16:05:30.114285714,-20 days +22:04:55,15,madlib
507,43539705,apache/directory-fortress-commander,Java,386,7,NonSQ,76,2502 days 20:41:52,1,0 days 09:16:08,0 days 09:16:08,2,1,2,1322 days 17:09:34,1322 days 17:09:34,2,1322 days 07:53:26,1322 days 07:53:26,0,directory
508,43539706,apache/directory-fortress-core,Java,1800,12,NonSQ,177,3367 days 21:10:59,1,0 days 08:49:06,0 days 08:49:06,0,1,1,302 days 22:35:16,302 days 22:35:16,1,302 days 13:46:10,302 days 13:46:10,0,directory
509,43539707,apache/directory-fortress-enmasse,Java,378,8,NonSQ,52,2917 days 00:37:40,0,NaT,NaT,0,1,1,48 days 03:39:31,48 days 03:39:31,2,NaT,NaT,1,directory
510,43539708,apache/directory-fortress-realm,Java,297,7,NonSQ,38,3204 days 17:00:58,2,0 days 04:39:25.500000,0 days 04:39:25.500000,0,2,0,NaT,NaT,0,NaT,NaT,0,directory
512,45165992,apache/mynewt-documentation,Makefile,321,22,NonSQ,6,1902 days 06:09:32,6,13 days 23:00:46.833333333,10 days 12:16:48.500000,38,4,0,NaT,NaT,35,NaT,NaT,1,mynewt
513,45165993,apache/mynewt-core,C,9863,104,NonSQ,675,2008 days 02:45:51,115,20 days 14:34:42.260869565,2 days 22:05:43,73,125,58,21 days 05:56:22.620689655,1 days 15:56:05,82,0 days 15:21:40.359820090,-2 days +17:50:22,62,mynewt
514,45165994,apache/mynewt-newt,Go,1556,36,NonSQ,61,1991 days 23:46:53,12,52 days 06:30:42.500000,9 days 14:35:52.500000,22,18,8,3 days 02:59:21.625000,0 days 16:38:59.500000,35,-50 days +20:28:39.125000,-9 days +02:03:07,13,mynewt
515,45165995,apache/mynewt-blinky,C,58,6,NonSQ,3,1643 days 11:56:29,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,mynewt
516,45721011,apache/skywalking,Java,6143,304,NonSQ,1302,1881 days 08:30:37,1149,26 days 07:48:37.765013055,0 days 03:18:15,120,1100,578,18 days 18:38:27.870242214,0 days 03:33:09,62,-8 days +10:49:50.105229159,0 days 00:14:54,592,skywalking
517,45896813,apache/systemds,Java,6954,94,NonSQ,1125,3276 days 21:52:52,414,367 days 18:15:13.031400968,11 days 02:22:48.500000,712,358,214,241 days 07:50:26.317757008,8 days 19:19:02,778,-127 days +13:35:13.286356040,-3 days +16:56:13.500000,191,systemds
520,46606641,apache/systemds-website,HTML,208,13,NonSQ,63,1857 days 04:06:59,5,2 days 22:51:24.400000,0 days 00:05:59,1,4,2,6 days 02:17:28.500000,6 days 02:17:28.500000,2,3 days 03:26:04.100000,6 days 02:11:29.500000,3,systemds
521,46776191,apache/unomi,Java,2263,32,NonSQ,288,2427 days 07:08:08,84,20 days 21:04:01.630952381,4 days 20:06:31.500000,56,113,221,147 days 21:06:48.515837104,7 days 19:59:14,116,127 days 00:02:46.884884723,2 days 23:52:42.500000,212,unomi
522,46909397,apache/whimsy,Ruby,6815,31,NonSQ,934,3142 days 16:43:48,20,24 days 17:53:45.050000,2 days 09:27:50.500000,138,24,20,181 days 00:31:18.500000,0 days 22:06:09,164,156 days 06:37:33.450000,-2 days +12:38:18.500000,16,whimsy
524,47246077,apache/brooklyn-client,Go,445,18,NonSQ,37,1952 days 18:59:54,1,50 days 02:33:28,50 days 02:33:28,2,0,0,NaT,NaT,1,NaT,NaT,0,brooklyn
525,47246078,apache/brooklyn-dist,Shell,851,32,NonSQ,76,3479 days 04:01:11,3,20 days 15:26:47.333333333,7 days 01:26:53,5,2,1,0 days 00:48:54,0 days 00:48:54,4,-21 days +09:22:06.666666667,-8 days +23:22:01,2,brooklyn
526,47246079,apache/brooklyn-docs,JavaScript,1712,46,NonSQ,255,3468 days 00:03:43,7,52 days 09:48:47.428571429,28 days 16:21:34,8,6,12,23 days 20:50:39.416666666,3 days 19:48:43,5,-29 days +11:01:51.988095237,-25 days +03:27:09,13,brooklyn
527,47246080,apache/brooklyn-library,Java,3765,47,NonSQ,40,3474 days 22:54:50,2,25 days 04:05:38,25 days 04:05:38,3,1,1,0 days 00:23:52,0 days 00:23:52,2,-26 days +20:18:14,-26 days +20:18:14,1,brooklyn
528,47246081,apache/brooklyn-server,Java,12747,61,NonSQ,1321,3477 days 02:07:31,34,19 days 02:40:17.088235294,0 days 09:04:38.500000,20,31,51,83 days 15:41:18.156862745,0 days 22:45:12,20,64 days 13:01:01.068627451,0 days 13:40:33.500000,47,brooklyn
529,47246082,apache/brooklyn-ui,JavaScript,1775,39,NonSQ,724,3478 days 01:25:49,7,9 days 10:10:16.285714285,1 days 20:44:29,8,6,18,6 days 15:51:40.777777777,0 days 18:38:38.500000,5,-3 days +05:41:24.492063492,-2 days +21:54:09.500000,26,brooklyn
530,47246083,apache/brooklyn,Dockerfile,194,28,NonSQ,32,3329 days 23:23:35,1,50 days 02:40:28,50 days 02:40:28,297,1,1,994 days 03:29:39,994 days 03:29:39,299,944 days 00:49:11,944 days 00:49:11,0,brooklyn
533,48418598,apache/fineract-site,HTML,66,18,NonSQ,38,1761 days 18:22:37,0,NaT,NaT,0,0,6,0 days 06:14:31.166666666,0 days 00:16:30.500000,0,NaT,NaT,6,fineract
534,48418599,apache/fineract,Java,5974,142,NonSQ,1085,3176 days 01:10:33,565,31 days 18:43:30.966371681,1 days 00:45:41,497,643,873,627 days 19:04:47.855670104,9 days 16:39:07,681,596 days 00:21:16.889298423,8 days 15:53:26,644,fineract
535,49876476,apache/shardingsphere,Java,27834,205,NonSQ,9274,1809 days 02:48:08,2572,6 days 00:39:40.147356143,0 days 02:27:52,118,2608,4390,15 days 15:16:30.058769932,0 days 02:57:27.500000,470,9 days 14:36:49.911413789,0 days 00:29:35.500000,4434,shardingsphere
536,50229487,apache/lucene-solr,,34554,220,NonSQ,367,7050 days 18:15:12,515,46 days 19:37:19.900970874,3 days 16:00:27,292,539,23,561 days 10:33:54.652173912,681 days 01:36:42,255,514 days 14:56:34.751203038,677 days 09:36:15,11,lucene
537,50647838,apache/kudu,C++,9201,107,NonSQ,684,3001 days 23:40:11,47,282 days 00:26:34.042553192,105 days 20:05:44,750,64,31,256 days 21:47:34.741935484,49 days 23:44:59,817,-26 days +21:21:00.699382292,-56 days +03:39:15,56,kudu
538,50904245,apache/beam,Java,30187,705,NonSQ,7944,2365 days 11:59:36,1725,28 days 18:56:57.562898550,3 days 22:09:33,3744,2640,2384,28 days 16:07:41.758389261,5 days 20:30:12.500000,8175,-1 days +21:10:44.195490711,1 days 22:20:39.500000,2721,beam
539,51194609,apache/steve,Python,701,15,NonSQ,115,6526 days 00:48:33,0,NaT,NaT,42,0,0,NaT,NaT,60,NaT,NaT,0,steve
540,51501355,apache/mynewt-site,HTML,1362,39,NonSQ,6,1868 days 04:04:49,1,1 days 10:45:10,1 days 10:45:10,2,2,0,NaT,NaT,2,NaT,NaT,0,mynewt
541,51905338,apache/arrow-site,HTML,222,49,NonSQ,181,1326 days 05:56:45,20,4 days 06:45:14.650000,0 days 05:15:09,2,20,68,4 days 04:19:32.176470588,0 days 22:21:16,0,-1 days +21:34:17.526470588,0 days 17:06:07,72,arrow
542,51905353,apache/arrow,C++,8206,484,NonSQ,4687,2403 days 03:15:13,2832,31 days 14:34:03.476341808,2 days 19:24:31,1469,3246,2702,76 days 12:02:48.113619541,5 days 05:07:23,2903,44 days 21:28:44.637277733,2 days 09:42:52,3129,arrow
543,52039373,apache/openwhisk,Scala,2851,175,NonSQ,176,1735 days 05:45:17,104,96 days 21:52:03.355769231,11 days 19:26:12,303,109,82,55 days 00:31:01.341463415,3 days 18:57:08.500000,360,-42 days +02:38:57.985694184,-9 days +23:30:56.500000,103,openwhisk
545,53032138,apache/airavata-docs,,219,7,NonSQ,2,1243 days 12:27:53,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,airavata
546,53118295,apache/cordova-paramedic,JavaScript,389,23,NonSQ,27,2148 days 18:27:42,10,15 days 16:04:29.200000,0 days 07:14:10.500000,80,14,6,7 days 09:38:44,4 days 14:16:09.500000,69,-9 days +17:34:14.800000,4 days 07:01:59,13,cordova
547,53649949,apache/aries-rsa,Java,954,12,NonSQ,14,4299 days 19:17:34,0,NaT,NaT,0,0,1,2 days 17:44:48,2 days 17:44:48,1,NaT,NaT,3,aries
549,54452622,apache/guacamole-client,Java,5648,57,NonSQ,637,3840 days 12:30:06,41,61 days 13:21:16.902439024,2 days 01:21:04,45,42,46,54 days 00:19:02.065217391,1 days 00:28:17.500000,43,-8 days +10:57:45.162778367,-2 days +23:07:13.500000,44,guacamole
550,54452626,apache/guacamole-manual,Python,900,16,NonSQ,73,3122 days 21:27:13,12,40 days 18:34:15.083333333,1 days 06:13:51.500000,5,12,6,43 days 08:27:33.833333333,2 days 17:53:23,5,2 days 13:53:18.750000,1 days 11:39:31.500000,5,guacamole
551,54452627,apache/guacamole-server,C,3373,42,NonSQ,182,3675 days 07:52:09,22,30 days 05:25:43.590909091,1 days 10:26:35,13,25,22,62 days 20:45:07.272727273,0 days 23:29:16.500000,26,32 days 15:19:23.681818182,-1 days +13:02:41.500000,24,guacamole
552,54548295,apache/openwhisk-client-js,JavaScript,232,34,NonSQ,28,1725 days 23:34:21,5,1 days 20:21:43.400000,0 days 15:02:34,14,6,17,83 days 14:59:05.294117647,0 days 02:50:31,21,81 days 18:37:21.894117647,-1 days +11:47:57,12,openwhisk
556,54767258,apache/mynewt-newtmgr,Go,1530,23,NonSQ,5,1997 days 22:52:07,13,10 days 16:23:28.923076923,0 days 23:14:53,9,12,1,41 days 05:49:58,41 days 05:49:58,13,30 days 13:26:29.076923077,40 days 06:35:05,1,mynewt
558,54953350,apache/mnemonic,Java,536,20,NonSQ,139,1851 days 15:26:12,69,13 days 09:05:24.188405797,1 days 07:45:35,38,102,38,10 days 00:56:37,5 days 16:36:37,37,-4 days +15:51:12.811594203,4 days 08:51:02,45,mnemonic
559,55282190,apache/airavata-site,HTML,123,18,NonSQ,11,1656 days 19:12:33,0,NaT,NaT,2,0,0,NaT,NaT,0,NaT,NaT,2,airavata
562,56128731,apache/commons-crypto,Java,752,22,NonSQ,414,2105 days 21:02:56,26,71 days 06:59:51.576923077,4 days 22:59:04.500000,17,31,38,10 days 20:41:27.052631579,0 days 03:41:20.500000,32,-61 days +13:41:35.475708502,-5 days +04:42:16,37,commons
563,56128733,apache/impala,C++,9648,134,NonSQ,913,3509 days 06:00:39,688,583 days 06:00:16.486918600,200 days 11:04:53,2147,501,327,207 days 18:16:02.039755346,33 days 13:31:57,2268,-376 days +12:15:45.552836746,-167 days +02:27:04,414,impala
564,56214716,apache/phoenix-omid,Java,1300,13,NonSQ,36,3320 days 01:27:19,36,71 days 04:36:54.138888889,1 days 08:06:04,34,61,29,82 days 09:34:51.448275862,4 days 18:31:06,64,11 days 04:57:57.309386973,3 days 10:25:02,28,phoenix
565,56750161,apache/nifi-minifi-cpp,C++,913,30,NonSQ,492,1703 days 04:24:01,235,44 days 09:18:52.336170213,9 days 02:52:19,414,307,217,88 days 02:35:47.682027650,13 days 05:04:27,464,43 days 17:16:55.345857437,4 days 02:12:08,264,nifi
566,57191357,apache/guacamole-website,JavaScript,250,6,NonSQ,42,1741 days 17:03:50,4,0 days 00:38:08.500000,0 days 00:42:23,1,4,6,6 days 02:16:34.333333333,3 days 22:32:02.500000,1,6 days 01:38:25.833333333,3 days 21:49:39.500000,6,guacamole
568,58955430,apache/openwhisk-package-pushnotifications,JavaScript,87,13,NonSQ,1,904 days 05:40:40,0,NaT,NaT,3,0,0,NaT,NaT,3,NaT,NaT,0,openwhisk
569,59930658,apache/bahir-website,CSS,141,11,NonSQ,6,1863 days 14:51:24,1,2 days 11:58:14,2 days 11:58:14,0,1,1,0 days 00:00:22,0 days 00:00:22,0,-3 days +12:02:08,-3 days +12:02:08,1,bahir
570,59930659,apache/bahir,Scala,407,68,NonSQ,5,2912 days 18:05:07,13,61 days 13:09:05,38 days 00:51:21,59,18,19,161 days 09:27:07.368421052,38 days 11:51:21,91,99 days 20:18:02.368421052,0 days 11:00:00,19,bahir
571,60240212,apache/cordova-plugin-screen-orientation,JavaScript,196,24,NonSQ,13,2312 days 03:41:56,10,128 days 20:33:52.300000,6 days 12:45:25,15,13,24,310 days 15:17:53.416666668,67 days 23:00:52.500000,24,181 days 18:44:01.116666668,61 days 10:15:27.500000,18,cordova
572,60240214,apache/phoenix-tephra,Java,414,22,NonSQ,5,2329 days 07:39:09,24,74 days 22:12:06.333333333,7 days 03:29:41,110,22,0,NaT,NaT,109,NaT,NaT,0,phoenix
574,60272020,apache/openwhisk-catalog,JavaScript,191,21,NonSQ,7,1654 days 22:16:43,2,0 days 07:28:48.500000,0 days 07:28:48.500000,35,2,2,221 days 03:00:52.500000,221 days 03:00:52.500000,14,220 days 19:32:04,220 days 19:32:04,1,openwhisk
575,60337347,apache/echarts-theme-builder,JavaScript,155,6,NonSQ,6,1582 days 06:51:54,10,36 days 13:09:44.800000,3 days 20:15:41,3,11,0,NaT,NaT,6,NaT,NaT,1,echarts
576,61055235,apache/cordova-status,,43,10,NonSQ,3,1092 days 15:33:39,0,NaT,NaT,3,1,1,0 days 01:02:46,0 days 01:02:46,4,NaT,NaT,1,cordova
577,61863697,apache/fluo-website,HTML,344,29,NonSQ,11,2279 days 02:55:20,10,0 days 09:38:56.700000,0 days 01:17:28,20,11,0,NaT,NaT,20,NaT,NaT,0,fluo
578,62117812,apache/pulsar,Java,5790,335,NonSQ,5284,1575 days 23:27:06,1469,52 days 07:14:11.168141592,3 days 00:40:35,826,1695,3586,270 days 02:12:48.366982712,15 days 23:31:18.500000,2229,217 days 18:58:37.198841120,12 days 22:50:43.500000,2566,pulsar
579,62117818,apache/carbondata,Scala,4796,170,NonSQ,166,1764 days 00:47:20,459,38 days 18:19:20.858387799,10 days 16:59:16,1112,467,7,44 days 15:41:00.142857143,31 days 16:21:35,1225,5 days 21:21:39.284469344,20 days 23:22:19,10,carbondata
581,62259667,apache/openwhisk-website,HTML,386,35,NonSQ,38,1631 days 23:49:50,21,3 days 03:20:20.476190476,0 days 05:15:45,37,23,4,2 days 14:37:23.500000,1 days 20:49:56,14,-1 days +11:17:03.023809524,1 days 15:34:11,5,openwhisk
583,62698709,apache/qpid-cpp,C++,6792,20,NonSQ,10,5203 days 21:01:00,2,313 days 21:19:28,313 days 21:19:28,2,1,2,268 days 13:31:40.500000,268 days 13:31:40.500000,2,-46 days +16:12:12.500000,-46 days +16:12:12.500000,3,qpid
585,62783390,apache/echarts-doc,JavaScript,1947,45,NonSQ,498,1841 days 23:22:36,23,6 days 00:29:45.608695652,0 days 09:24:37,8,27,63,31 days 07:52:53.857142857,0 days 22:56:02,33,25 days 07:23:08.248447205,0 days 13:31:25,61,echarts
586,63044519,apache/juneau-website,HTML,650,6,NonSQ,60,1562 days 07:32:58,1,0 days 07:04:43,0 days 07:04:43,0,5,0,NaT,NaT,4,NaT,NaT,0,juneau
587,63044524,apache/spark-website,,787,87,NonSQ,132,2690 days 05:14:21,24,3 days 00:38:11.708333333,0 days 06:30:11.500000,0,24,29,4 days 03:58:14.275862068,0 days 02:28:26,1,1 days 03:20:02.567528735,-1 days +19:58:14.500000,28,spark
590,63519014,apache/royale-typedefs,ActionScript,628,16,NonSQ,57,1822 days 17:12:03,0,NaT,NaT,1,1,0,NaT,NaT,3,NaT,NaT,0,royale
591,63669374,apache/shiro-site,,220,44,NonSQ,321,2786 days 14:08:23,12,0 days 03:07:24.833333333,0 days 00:17:01.500000,0,12,14,10 days 03:19:36.428571428,3 days 23:16:28.500000,2,10 days 00:12:11.595238095,3 days 22:59:27,14,shiro
596,64581179,apache/cordova-create,JavaScript,156,11,NonSQ,8,1560 days 19:54:17,2,10 days 21:07:16,10 days 21:07:16,0,2,10,24 days 21:04:42.700000,0 days 01:27:43,1,13 days 23:57:26.700000,-11 days +04:20:27,9,cordova
597,64732665,apache/juneau,Java,2279,15,NonSQ,808,1609 days 22:58:29,3,44 days 21:13:04,24 days 15:20:09,47,2,28,11 days 13:30:34.500000,5 days 16:27:52.500000,13,-34 days +16:17:30.500000,-19 days +01:07:43.500000,30,juneau
598,64996439,apache/couchdb-glazier,PowerShell,213,5,NonSQ,22,3524 days 05:32:55,0,NaT,NaT,0,0,3,2 days 05:34:39,2 days 06:56:09,0,NaT,NaT,3,couchdb
599,65604083,apache/commons-rng,Java,1168,12,SQ,529,1526 days 00:34:54,1,0 days 03:44:18,0 days 03:44:18,11,2,12,65 days 06:47:15.166666667,4 days 15:59:03.500000,15,65 days 03:02:57.166666667,4 days 12:14:45.500000,11,commons
600,65973286,apache/bahir-flink,Java,112,33,NonSQ,48,1570 days 20:27:11,14,40 days 12:48:05.642857143,3 days 10:22:38,6,17,12,49 days 12:50:18.583333333,25 days 11:01:19.500000,11,9 days 00:02:12.940476190,22 days 00:38:41.500000,10,bahir
603,67012140,apache/cordova-electron,JavaScript,196,12,NonSQ,37,2036 days 05:31:46,20,84 days 11:54:00.850000,5 days 00:13:45,23,21,0,NaT,NaT,35,NaT,NaT,8,cordova
611,67198520,apache/trafficcontrol,Go,11083,99,NonSQ,1217,2093 days 02:00:56,561,123 days 14:11:54.768270944,5 days 01:35:10,898,551,304,89 days 16:17:29.717105263,4 days 16:11:55,903,-34 days +02:05:34.948834319,-1 days +14:36:45,323,trafficcontrol
613,67330478,apache/roller-website,HTML,48,3,NonSQ,5,1558 days 10:07:32,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,roller
615,68181694,apache/maven-resolver,Java,696,28,NonSQ,163,3351 days 02:57:23,54,112 days 00:15:23.203703704,7 days 14:46:55,35,45,78,77 days 05:57:19.756410256,5 days 20:26:26,49,-35 days +05:41:56.552706552,-2 days +05:39:31,86,maven
616,68686441,apache/cordova-new-committer-and-pmc,,30,3,NonSQ,5,1182 days 06:47:57,0,NaT,NaT,1,0,0,NaT,NaT,0,NaT,NaT,0,cordova
619,70037034,apache/opennlp-sandbox,Java,521,11,NonSQ,1,3386 days 19:08:18,0,NaT,NaT,9,0,1,0 days 19:53:26,0 days 19:53:26,10,NaT,NaT,16,opennlp
620,70104891,apache/openwhisk-wskdeploy,Go,562,37,NonSQ,20,1453 days 19:10:57,5,5 days 03:30:25,1 days 21:42:33,155,11,2,41 days 11:51:49,41 days 11:51:49,179,36 days 08:21:24,39 days 14:09:16,1,openwhisk
622,70498479,apache/openwhisk-package-kafka,Python,245,16,NonSQ,8,1529 days 06:32:21,5,0 days 00:52:15.800000,0 days 00:07:58,31,6,1,0 days 01:18:52,0 days 01:18:52,29,0 days 00:26:36.200000,0 days 01:10:54,1,openwhisk
623,70594945,apache/openwhisk-external-resources,,53,19,NonSQ,1,1148 days 02:49:04,0,NaT,NaT,3,0,0,NaT,NaT,3,NaT,NaT,0,openwhisk
625,70746484,apache/tvm,Python,5345,452,NonSQ,4587,1652 days 02:07:37,1194,18 days 12:06:46.103015075,1 days 05:29:38.500000,146,1212,1640,31 days 09:07:16.044512195,1 days 22:56:06,523,12 days 21:00:29.941497120,0 days 17:26:27.500000,1695,tvm
626,71356594,apache/openwhisk-package-cloudant,Scala,171,16,NonSQ,7,1534 days 07:02:08,0,NaT,NaT,24,1,1,0 days 00:53:13,0 days 00:53:13,24,NaT,NaT,1,openwhisk
627,71358594,apache/openwhisk-package-alarms,JavaScript,173,20,NonSQ,11,1534 days 06:47:26,4,2 days 09:06:38.750000,0 days 05:57:02,8,5,1,0 days 00:54:07,0 days 00:54:07,9,-3 days +15:47:28.250000,-1 days +18:57:05,1,openwhisk
629,71434423,apache/opennlp-site,CSS,92,8,NonSQ,26,1184 days 00:54:25,1,0 days 00:00:10,0 days 00:00:10,1,1,8,225 days 07:43:34,0 days 05:46:13.500000,1,225 days 07:43:24,0 days 05:46:03.500000,7,opennlp
630,71975377,apache/commons-numbers,Java,1051,18,SQ,279,1416 days 12:57:14,13,348 days 00:34:17.692307692,2 days 03:16:21,65,13,60,1158 days 12:02:36.416666672,1399 days 00:26:09.500000,71,810 days 11:28:18.724358980,1396 days 21:09:48.500000,15,commons
632,72080280,apache/infrastructure-website,HTML,1158,22,NonSQ,745,1526 days 21:34:54,9,14 days 19:58:49.333333333,0 days 02:30:48,1,12,15,0 days 06:20:07,0 days 01:22:15,6,-15 days +10:21:17.666666667,-1 days +22:51:27,15,infrastructure
633,72560759,apache/openwhisk-devtools,JavaScript,181,48,NonSQ,5,1399 days 00:40:30,2,6 days 14:18:49.500000,6 days 14:18:49.500000,40,5,3,296 days 20:07:41.333333332,442 days 03:21:28,22,290 days 05:48:51.833333332,435 days 13:02:38.500000,3,openwhisk
